Mercury; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Venus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Earth; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Mars; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Jupiter; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Saturn; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Uranus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Neptune; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
16 Cygni Bb; Planet; ; 2.38; ; 799.5; 1.66; ; radial vel.; 1996; 68.99; 1.04; 5750; ; 
Kepler-862b; Planet; ; ; 0.197; 3.14866453; ; ; transit; 2016; 2630; 0.88; 5333; ; 
Kepler-863b; Planet; ; ; 0.259; 15.59461874; ; ; transit; 2016; 3730; 0.96; 5678; ; 
Kepler-864b; Planet; ; ; 0.214; 5.83376092; ; ; transit; 2016; 5130; 1; 5754; ; 
Kepler-865b; Planet; ; ; 0.222; 14.16399294; ; ; transit; 2016; 2170; 0.93; 5570; ; 
Kepler-866b; Planet; ; ; 0.145; 2.61703254; ; ; transit; 2016; 2300; 0.75; 4751; ; 
Kepler-867b; Planet; ; ; 0.414; 150.242127; ; ; transit; 2016; 2690; 0.92; 5541; ; 
Kepler-868b; Planet; ; ; 0.183; 5.03251791; ; ; transit; 2016; 4140; 0.93; 5614; ; 
Kepler-869b; Planet; ; ; 0.322; 40.4287755; ; ; transit; 2016; 3120; 0.97; 5664; ; 
Kepler-870b; Planet; ; ; 0.248; 21.3587621; ; ; transit; 2016; 4010; 1.01; 5857; ; 
Kepler-871b; Planet; ; ; 0.334; 22.0459018; ; ; transit; 2016; 5530; 1.11; 5993; ; 
Kepler-872b; Planet; ; ; 0.178; 2.57885507; ; ; transit; 2016; 3630; 1.05; 5902; ; 
Kepler-873b; Planet; ; ; 0.335; 20.5533844; ; ; transit; 2016; 4560; 1.18; 6163; ; 
Kepler-874b; Planet; ; ; 0.352; 40.0686727; ; ; transit; 2016; 3500; 1.09; 6020; ; 
Kepler-875b; Planet; ; ; 0.259; 27.5073799; ; ; transit; 2016; 4060; 1.06; 5958; ; 
Kepler-876b; Planet; ; ; 0.128; 5.14438011; ; ; transit; 2016; 2400; 0.81; 5060; ; 
Kepler-877b; Planet; ; ; 0.189; 18.45847097; ; ; transit; 2016; 1870; 0.85; 5261; ; 
Kepler-878b; Planet; ; ; 0.172; 25.9422033; ; ; transit; 2016; 1850; 0.81; 5044; ; 
Kepler-879b; Planet; ; ; 0.229; 33.3855938; ; ; transit; 2016; 2520; 1.02; 5792; ; 
Kepler-880b; Planet; ; ; 0.237; 7.71468975; ; ; transit; 2016; 2200; 1.46; 6761; ; 
Kepler-881b; Planet; ; ; 0.159; 4.44448017; ; ; transit; 2016; 4450; 1.06; 5961; ; 
Kepler-882b; Planet; ; ; 0.11; 3.98953967; ; ; transit; 2016; 1710; 0.9; 5476; ; 
Kepler-883b; Planet; ; ; 0.159; 12.98495573; ; ; transit; 2016; 1790; 1.06; 6116; ; 
Kepler-884b; Planet; ; ; 0.11; 5.69919514; ; ; transit; 2016; 1400; 1; 5715; ; 
Kepler-885b; Planet; ; ; 0.223; 18.11472949; ; ; transit; 2016; 2060; 1.21; 6187; ; 
Kepler-886b; Planet; ; ; 0.136; 6.24146367; ; ; transit; 2016; 2800; 1.1; 6098; ; 
Kepler-887b; Planet; ; ; 0.164; 20.42228798; ; ; transit; 2016; 2710; 1.19; 6194; ; 
Kepler-887c; Planet; ; ; 0.101; 7.63846023; ; ; transit; 2016; 2710; 1.19; 6194; ; 
Kepler-888b; Planet; ; ; 0.157; 70.6979061; ; ; transit; 2016; 1350; 0.97; 5875; ; 
Kepler-889b; Planet; ; ; 0.097; 3.744439; ; ; transit; 2016; 1670; 1.14; 5961; ; 
Kepler-890b; Planet; ; ; 0.793; 52.75875577; ; ; transit; 2016; 4520; 1.09; 5954; ; 
Kepler-891b; Planet; ; ; 0.572; 53.44945593; ; ; transit; 2016; 4470; 1.06; 5887; ; 
Kepler-892b; Planet; ; ; 0.251; 13.7521072; ; ; transit; 2016; 2100; 0.75; 4747; ; 
Kepler-893b; Planet; ; ; 0.27; 6.33855761; ; ; transit; 2016; 3970; 1; 5820; ; 
Kepler-894b; Planet; ; ; 0.248; 9.803224; ; ; transit; 2016; 3600; 0.87; 5603; ; 
Kepler-895b; Planet; ; ; 0.137; 2.80624233; ; ; transit; 2016; 1680; 0.65; 4315; ; 
Kepler-896b; Planet; ; ; 0.226; 144.547396; ; ; transit; 2016; 2920; 0.84; 5262; ; 
Kepler-897b; Planet; ; ; 0.213; 8.0472642; ; ; transit; 2016; 3740; 1.03; 5839; ; 
Kepler-898b; Planet; ; ; 0.133; 5.8706191; ; ; transit; 2016; 1560; 0.65; 4223; ; 
Kepler-899b; Planet; ; ; 0.239; 19.17891293; ; ; transit; 2016; 3390; 0.93; 5595; ; 
Kepler-900b; Planet; ; ; 0.186; 6.9913086; ; ; transit; 2016; 1650; 0.78; 4836; ; 
Kepler-901b; Planet; ; ; 0.122; 3.51749439; ; ; transit; 2016; 790; 0.59; 4184; ; 
Kepler-902b; Planet; ; ; 0.227; 40.1099547; ; ; transit; 2016; 2950; 0.95; 5647; ; 
Kepler-903b; Planet; ; ; 0.179; 10.3507721; ; ; transit; 2016; 2700; 0.98; 5682; ; 
Kepler-903c; Planet; ; ; 0.226; 62.9228557; ; ; transit; 2016; 2700; 0.98; 5682; ; 
Kepler-904b; Planet; ; ; 0.158; 3.02166863; ; ; transit; 2016; 3750; 1.16; 6160; ; 
Kepler-905b; Planet; ; ; 0.126; 5.08274652; ; ; transit; 2016; 1700; 0.95; 5461; ; 
Kepler-906b; Planet; ; ; 0.188; 41.6979976; ; ; transit; 2016; 2470; 1.06; 6035; ; 
Kepler-907b; Planet; ; ; 0.107; 15.86621821; ; ; transit; 2016; 1150; 1.08; 6106; ; 
Kepler-908b; Planet; ; ; 0.109; 1.34059747; ; ; transit; 2016; 820; 1.11; 5973; ; 
Kepler-909b; Planet; ; ; 0.131; 13.93290318; ; ; transit; 2016; 1040; 1.17; 6154; ; 
Kepler-910b; Planet; ; ; 0.073; 2.36436901; ; ; transit; 2016; 1310; 1.26; 6230; ; 
Kepler-911b; Planet; ; ; 0.232; 20.310501; ; ; transit; 2016; 1850; 1.34; 6112; ; 
Kepler-912b; Planet; ; ; 0.25; 2.53475627; ; ; transit; 2016; 4130; 1.07; 5998; ; 
Kepler-913b; Planet; ; ; 0.184; 10.29672521; ; ; transit; 2016; 1950; 0.63; 4687; ; 
Kepler-914b; Planet; ; ; 0.123; 4.40966548; ; ; transit; 2016; 2210; 1.1; 5877; ; 
Kepler-915b; Planet; ; ; 0.134; 4.59489604; ; ; transit; 2016; 2630; 1.21; 6173; ; 
Kepler-916b; Planet; ; ; 0.157; 32.2968798; ; ; transit; 2016; 2510; 0.85; 5248; ; 
Kepler-917b; Planet; ; ; 0.17; 2.97041437; ; ; transit; 2016; 3350; 0.8; 5418; ; 
Kepler-918b; Planet; ; ; 0.155; 4.85386933; ; ; transit; 2016; 4060; 1.11; 6028; ; 
Kepler-919b; Planet; ; ; 0.201; 11.04603384; ; ; transit; 2016; 3980; 1.15; 6113; ; 
Kepler-920b; Planet; ; ; 0.216; 6.53192704; ; ; transit; 2016; 3020; 0.89; 5403; ; 
Kepler-920c; Planet; ; ; 0.339; 100.8274113; ; ; transit; 2016; 3020; 0.89; 5403; ; 
Kepler-921b; Planet; ; ; 0.256; 51.300634; ; ; transit; 2016; 2760; 0.93; 5663; ; 
Kepler-922b; Planet; ; ; 0.127; 0.93846683; ; ; transit; 2016; 1820; 0.95; 5671; ; 
Kepler-923b; Planet; ; ; 0.123; 6.93366476; ; ; transit; 2016; 3150; 1.11; 5988; ; 
Kepler-924b; Planet; ; ; 0.274; 61.0370117; ; ; transit; 2016; 3250; 1.14; 6167; ; 
Kepler-925b; Planet; ; ; 0.209; 33.8678531; ; ; transit; 2016; 2030; 0.77; 4673; ; 
Kepler-926b; Planet; ; ; 0.206; 52.0688601; ; ; transit; 2016; 2510; 1.01; 5806; ; 
Kepler-927b; Planet; ; ; 0.153; 9.1149903; ; ; transit; 2016; 2870; 0.99; 5743; ; 
Kepler-928b; Planet; ; ; 0.142; 3.9324613; ; ; transit; 2016; 1740; 0.73; 4700; ; 
Kepler-929b; Planet; ; ; 0.099; 0.92103214; ; ; transit; 2016; 2700; 1.01; 5869; ; 
Kepler-930b; Planet; ; ; 0.19; 71.4517775; ; ; transit; 2016; 2950; 1.25; 6335; ; 
Kepler-931b; Planet; ; ; 0.119; 8.03755877; ; ; transit; 2016; 1600; 0.86; 5241; ; 
Kepler-932b; Planet; ; ; 0.122; 1.9214374; ; ; transit; 2016; 1560; 0.87; 5331; ; 
Kepler-933b; Planet; ; ; 0.219; 14.20443009; ; ; transit; 2016; 3010; 0.87; 5346; ; 
Kepler-934b; Planet; ; ; 0.186; 55.6738309; ; ; transit; 2016; 1970; 0.81; 5001; ; 
Kepler-935b; Planet; ; ; 0.12; 4.88083852; ; ; transit; 2016; 1570; 0.78; 4830; ; 
Kepler-936b; Planet; ; ; 0.129; 10.56134221; ; ; transit; 2016; 2240; 0.92; 5482; ; 
Kepler-937b; Planet; ; ; 0.332; 67.668827; ; ; transit; 2016; 4830; 1.15; 6095; ; 
Kepler-937c; Planet; ; ; 0.238; 153.343364; ; ; transit; 2016; 4830; 1.15; 6095; ; 
Kepler-938b; Planet; ; ; 0.198; 52.6298417; ; ; transit; 2016; 2810; 0.92; 5533; ; 
Kepler-939b; Planet; ; ; 0.156; 14.878296; ; ; transit; 2016; 3360; 0.88; 5471; ; 
Kepler-940b; Planet; ; ; 0.298; 59.6225257; ; ; transit; 2016; 4300; 0.97; 5769; ; 
Kepler-941b; Planet; ; ; 0.275; 17.42395198; ; ; transit; 2016; 3600; 0.89; 5539; ; 
Kepler-942b; Planet; ; ; 0.19; 44.96417488; ; ; transit; 2016; 710; 0.81; 4861; ; 
Kepler-943b; Planet; ; ; 0.529; 49.7701438; ; ; transit; 2016; 4040; 0.93; 5612; ; 
Kepler-944b; Planet; ; ; 0.235; 43.3167737; ; ; transit; 2016; 3380; 0.86; 5409; ; 
Kepler-945b; Planet; ; ; 0.235; 31.0033814; ; ; transit; 2016; 5030; 0.97; 5718; ; 
Kepler-946b; Planet; ; ; 0.172; 11.79162572; ; ; transit; 2016; 2990; 0.94; 5665; ; 
Kepler-947b; Planet; ; ; 0.203; 26.9644317; ; ; transit; 2016; 3870; 0.9; 5508; ; 
Kepler-948b; Planet; ; ; 0.165; 7.76846622; ; ; transit; 2016; 2880; 0.96; 5679; ; 
Kepler-949b; Planet; ; ; 0.26; 8.6893073; ; ; transit; 2016; 1870; 0.89; 5403; ; 
Kepler-950b; Planet; ; ; 0.801; 98.7180406; ; ; transit; 2016; 4860; 1.02; 5857; ; 
Kepler-951b; Planet; ; ; 0.499; 71.52530845; ; ; transit; 2016; 1330; 0.77; 4834; ; 
Kepler-952b; Planet; ; ; 0.682; 130.3546919; ; ; transit; 2016; 3810; 1; 5730; ; 
Kepler-953b; Planet; ; ; 0.376; 88.40655258; ; ; transit; 2016; 780; 0.95; 5416; ; 
Kepler-953c; Planet; ; ; 0.106; 9.10967112; ; ; transit; 2016; 780; 0.95; 5416; ; 
Kepler-954b; Planet; ; ; 0.207; 16.78176602; ; ; transit; 2016; 730; 0.82; 4990; ; 
Kepler-955b; Planet; ; ; 0.279; 14.53244172; ; ; transit; 2016; 2080; 0.89; 5350; ; 
Kepler-956b; Planet; ; ; 0.268; 5.24867263; ; ; transit; 2016; 2060; 1.1; 6040; ; 
Kepler-957b; Planet; ; ; 0.491; 5.90741354; ; ; transit; 2016; 2440; 0.81; 4963; ; 
Kepler-958b; Planet; ; ; 0.184; 9.7678805; ; ; transit; 2016; 1520; 0.91; 5421; ; 
Kepler-959b; Planet; ; ; 0.391; 14.80074836; ; ; transit; 2016; 3270; 1.6; 7005; ; 
Kepler-960b; Planet; ; ; 0.204; 3.12686223; ; ; transit; 2016; 970; 0.77; 4755; ; 
Kepler-961b; Planet; ; ; 0.227; 16.87727414; ; ; transit; 2016; 1980; 0.96; 5582; ; 
Kepler-962b; Planet; ; ; 0.176; 12.05707239; ; ; transit; 2016; 1430; 0.93; 5478; ; 
Kepler-963b; Planet; ; ; 0.237; 9.97683705; ; ; transit; 2016; 2560; 0.91; 5461; ; 
Kepler-964b; Planet; ; ; 0.189; 13.5225106; ; ; transit; 2016; 1560; 0.93; 5427; ; 
Kepler-965b; Planet; ; ; 0.302; 134.2527298; ; ; transit; 2016; 2020; 1.05; 5886; ; 
Kepler-966b; Planet; ; ; 0.368; 99.747622; ; ; transit; 2016; 2520; 1.02; 5840; ; 
Kepler-967b; Planet; ; ; 0.21; 13.22713379; ; ; transit; 2016; 1630; 0.84; 5178; ; 
Kepler-967c; Planet; ; ; 0.326; 198.7112502; ; ; transit; 2016; 1630; 0.84; 5178; ; 
Kepler-968b; Planet; ; ; 0.178; 3.69298373; ; ; transit; 2016; 1020; 0.76; 4598; ; 
Kepler-968c; Planet; ; ; 0.151; 5.70940492; ; ; transit; 2016; 1020; 0.76; 4598; ; 
Kepler-969b; Planet; ; ; 0.185; 34.1731714; ; ; transit; 2016; 1340; 0.92; 5214; ; 
Kepler-969c; Planet; ; ; 0.088; 1.6829346; ; ; transit; 2016; 1340; 0.92; 5214; ; 
Kepler-970b; Planet; ; ; 0.247; 16.73652231; ; ; transit; 2016; 1100; 0.7; 4511; ; 
Kepler-971b; Planet; ; ; 0.19; 9.59070716; ; ; transit; 2016; 1130; 0.88; 5431; ; 
Kepler-972b; Planet; ; ; 0.415; 7.03932553; ; ; transit; 2016; 4250; 1.15; 6146; ; 
Kepler-973b; Planet; ; ; 0.175; 49.6077331; ; ; transit; 2016; 970; 0.86; 5213; ; 
Kepler-974b; Planet; ; ; 0.14; 4.19449651; ; ; transit; 2016; 390; 0.52; 3687; ; 
Kepler-975b; Planet; ; ; 0.132; 1.97034246; ; ; transit; 2016; 1320; 0.8; 4897; ; 
Kepler-976b; Planet; ; ; 0.353; 105.9564148; ; ; transit; 2016; 3300; 0.87; 5232; ; 
Kepler-977b; Planet; ; ; 0.234; 26.85328322; ; ; transit; 2016; 2170; 0.87; 5315; ; 
Kepler-978b; Planet; ; ; 0.267; 49.6221509; ; ; transit; 2016; 2040; 1.07; 6002; ; 
Kepler-979b; Planet; ; ; 0.243; 8.0880135; ; ; transit; 2016; 1980; 0.87; 5310; ; 
Kepler-980b; Planet; ; ; 0.238; 11.55102504; ; ; transit; 2016; 2620; 1.05; 5935; ; 
Kepler-981b; Planet; ; ; 0.206; 4.46975774; ; ; transit; 2016; 2980; 0.98; 5718; ; 
Kepler-982b; Planet; ; ; 0.201; 15.7738221; ; ; transit; 2016; 2290; 1.16; 6139; ; 
Kepler-983b; Planet; ; ; 0.211; 60.0855082; ; ; transit; 2016; 2140; 1.13; 6052; ; 
Kepler-984b; Planet; ; ; 0.189; 43.0342272; ; ; transit; 2016; 1500; 0.96; 5610; ; 
Kepler-985b; Planet; ; ; 0.266; 116.331901; ; ; transit; 2016; 2420; 0.91; 5434; ; 
Kepler-986b; Planet; ; ; 0.211; 56.4349938; ; ; transit; 2016; 1840; 0.96; 5642; ; 
Kepler-987b; Planet; ; ; 0.291; 105.3033148; ; ; transit; 2016; 3050; 0.97; 5637; ; 
Kepler-988b; Planet; ; ; 0.185; 17.76080053; ; ; transit; 2016; 810; 0.55; 4005; ; 
Kepler-989b; Planet; ; ; 0.197; 7.96431535; ; ; transit; 2016; 1580; 0.82; 5074; ; 
Kepler-990b; Planet; ; ; 0.232; 9.91723428; ; ; transit; 2016; 3040; 1.05; 5948; ; 
Kepler-990c; Planet; ; ; 0.136; 0.53835431; ; ; transit; 2016; 3040; 1.05; 5948; ; 
Kepler-991b; Planet; ; ; 0.227; 82.5342519; ; ; transit; 2016; 1200; 0.64; 4392; ; 
Kepler-992b; Planet; ; ; 0.145; 20.16034462; ; ; transit; 2016; 870; 0.8; 4944; ; 
Kepler-993b; Planet; ; ; 0.265; 22.08557563; ; ; transit; 2016; 970; 0.57; 3843; ; 
Kepler-994b; Planet; ; ; 0.143; 1.15116651; ; ; transit; 2016; 550; 0.56; 3934; ; 
Kepler-995b; Planet; ; ; 0.241; 28.26731672; ; ; transit; 2016; 2150; 0.83; 5206; ; 
Kepler-996b; Planet; ; ; 0.177; 3.77059058; ; ; transit; 2016; 3580; 1.09; 6014; ; 
Kepler-997b; Planet; ; ; 0.121; 2.70730672; ; ; transit; 2016; 1500; 1.22; 6150; ; 
Kepler-998b; Planet; ; ; 0.207; 5.65377733; ; ; transit; 2016; 3250; 1.12; 6058; ; 
Kepler-999b; Planet; ; ; 0.209; 5.99185702; ; ; transit; 2016; 1850; 1.29; 6237; ; 
Kepler-1000b; Planet; ; ; 0.425; 120.0181272; ; ; transit; 2016; 3020; 1.4; 6453; ; 
Kepler-1001b; Planet; ; ; 0.281; 14.30511983; ; ; transit; 2016; 3290; 0.9; 5491; ; 
Kepler-1002b; Planet; ; ; 0.153; 4.33642933; ; ; transit; 2016; 1390; 1.22; 6144; ; 
Kepler-1003b; Planet; ; ; 0.159; 3.55485691; ; ; transit; 2016; 2850; 1.11; 6109; ; 
Kepler-1004b; Planet; ; ; 0.56; 5.28789787; ; ; transit; 2016; 3500; 1.11; 4972; ; 
Kepler-1005b; Planet; ; ; 0.134; 6.49801525; ; ; transit; 2016; 1680; 1; 5782; ; 
Kepler-1006b; Planet; ; ; 0.137; 19.76172042; ; ; transit; 2016; 1620; 0.78; 5328; ; 
Kepler-1007b; Planet; ; ; 0.128; 5.18500207; ; ; transit; 2016; 1190; 0.73; 4587; ; 
Kepler-1008b; Planet; ; ; 0.114; 12.43931193; ; ; transit; 2016; 980; 0.81; 5066; ; 
Kepler-1009b; Planet; ; ; 0.194; 11.35011917; ; ; transit; 2016; 920; 0.59; 4027; ; 
Kepler-1010b; Planet; ; ; 0.207; 34.2685705; ; ; transit; 2016; 2000; 0.86; 5253; ; 
Kepler-1011b; Planet; ; ; 0.256; 5.75322197; ; ; transit; 2016; 2800; 0.91; 5416; ; 
Kepler-1012b; Planet; ; ; 0.115; 5.50860439; ; ; transit; 2016; 1400; 0.95; 5556; ; 
Kepler-1013b; Planet; ; ; 0.192; 18.93054959; ; ; transit; 2016; 1410; 0.81; 4954; ; 
Kepler-1014b; Planet; ; ; 0.213; 16.57110363; ; ; transit; 2016; 2190; 0.88; 5388; ; 
Kepler-1015b; Planet; ; ; 0.317; 16.00494214; ; ; transit; 2016; 3040; 1.49; 6769; ; 
Kepler-1016b; Planet; ; ; 0.194; 1.95452434; ; ; transit; 2016; 4040; 0.99; 5821; ; 
Kepler-1016c; Planet; ; ; 0.328; 105.6551369; ; ; transit; 2016; 4040; 0.99; 5821; ; 
Kepler-1017b; Planet; ; ; 0.178; 7.23400469; ; ; transit; 2016; 1810; 0.93; 5473; ; 
Kepler-1018b; Planet; ; ; 0.23; 49.1013514; ; ; transit; 2016; 2920; 0.91; 5518; ; 
Kepler-1019b; Planet; ; ; 0.13; 1.41122985; ; ; transit; 2016; 650; 0.7; 4433; ; 
Kepler-1020b; Planet; ; ; 0.203; 96.9151496; ; ; transit; 2016; 1450; 0.87; 5227; ; 
Kepler-1021b; Planet; ; ; 0.208; 13.47469571; ; ; transit; 2016; 2730; 0.89; 5431; ; 
Kepler-1022b; Planet; ; ; 0.211; 10.99469878; ; ; transit; 2016; 1480; 0.71; 4445; ; 
Kepler-1023b; Planet; ; ; 0.235; 62.1387714; ; ; transit; 2016; 2240; 0.93; 5494; ; 
Kepler-1024b; Planet; ; ; 0.349; 66.4162133; ; ; transit; 2016; 3320; 0.81; 5143; ; 
Kepler-1025b; Planet; ; ; 0.177; 37.3229493; ; ; transit; 2016; 2340; 1.09; 6089; ; 
Kepler-1026b; Planet; ; ; 0.197; 36.5156053; ; ; transit; 2016; 1270; 0.79; 4948; ; 
Kepler-1027b; Planet; ; ; 0.079; 1.9078052; ; ; transit; 2016; 950; 0.91; 5436; ; 
Kepler-1028b; Planet; ; ; 0.119; 2.51462432; ; ; transit; 2016; 2060; 0.9; 5522; ; 
Kepler-1029b; Planet; ; ; 0.112; 4.41769648; ; ; transit; 2016; 1380; 0.82; 5030; ; 
Kepler-1030b; Planet; ; ; 0.221; 19.32952416; ; ; transit; 2016; 2590; 0.8; 4983; ; 
Kepler-1031b; Planet; ; ; 0.078; 1.22621732; ; ; transit; 2016; 2420; 1.09; 6011; ; 
Kepler-1032b; Planet; ; ; 0.167; 3.29011795; ; ; transit; 2016; 1980; 0.77; 4647; ; 
Kepler-1033b; Planet; ; ; 0.224; 7.56052806; ; ; transit; 2016; 4650; 0.94; 5547; ; 
Kepler-1034b; Planet; ; ; 0.202; 12.12400943; ; ; transit; 2016; 2300; 0.83; 5198; ; 
Kepler-1035b; Planet; ; ; 0.104; 2.71407755; ; ; transit; 2016; 1330; 0.98; 5763; ; 
Kepler-1036b; Planet; ; ; 0.269; 122.8808058; ; ; transit; 2016; 1650; 0.95; 5533; ; 
Kepler-1037b; Planet; ; ; 0.114; 1.06378867; ; ; transit; 2016; 1470; 0.82; 5105; ; 
Kepler-1038b; Planet; ; ; 0.315; 148.4603382; ; ; transit; 2016; 2030; 0.87; 5335; ; 
Kepler-1039b; Planet; ; ; 0.13; 0.93488424; ; ; transit; 2016; 1060; 0.79; 4870; ; 
Kepler-1040b; Planet; ; ; 0.186; 201.1214; ; ; transit; 2016; 1540; 0.98; 5694; ; 
Kepler-1041b; Planet; ; ; 0.262; 24.7576421; ; ; transit; 2016; 3190; 1.06; 5957; ; 
Kepler-1042b; Planet; ; ; 0.195; 10.13202575; ; ; transit; 2016; 2150; 0.75; 4815; ; 
Kepler-1043b; Planet; ; ; 0.227; 38.5053398; ; ; transit; 2016; 2730; 0.92; 5629; ; 
Kepler-1044b; Planet; ; ; 0.238; 6.77408868; ; ; transit; 2016; 4920; 1.08; 5985; ; 
Kepler-1045b; Planet; ; ; 0.24; 26.41045478; ; ; transit; 2016; 3170; 0.86; 5301; ; 
Kepler-1046b; Planet; ; ; 0.153; 14.37508035; ; ; transit; 2016; 1690; 1.04; 5913; ; 
Kepler-1047b; Planet; ; ; 0.186; 56.1886887; ; ; transit; 2016; 1850; 1.08; 5754; ; 
Kepler-1047c; Planet; ; ; 0.088; 3.18897601; ; ; transit; 2016; 1850; 1.08; 5754; ; 
Kepler-1048b; Planet; ; ; 0.144; 6.92101021; ; ; transit; 2016; 1350; 0.75; 4651; ; 
Kepler-1049b; Planet; ; ; 0.085; 3.27346074; ; ; transit; 2016; 420; 0.51; 3864; ; 
Kepler-1050b; Planet; ; ; 0.143; 15.3787546; ; ; transit; 2016; 1810; 1.09; 6010; ; 
Kepler-1050c; Planet; ; ; 0.132; 21.1284569; ; ; transit; 2016; 1810; 1.09; 6010; ; 
Kepler-1051b; Planet; ; ; 0.303; 25.96200249; ; ; transit; 2016; 3330; 1.43; 6675; ; 
Kepler-1052b; Planet; ; ; 0.261; 34.8538276; ; ; transit; 2016; 3430; 1.03; 5888; ; 
Kepler-1053b; Planet; ; ; 0.087; 2.41435165; ; ; transit; 2016; 560; 0.74; 4529; ; 
Kepler-1054b; Planet; ; ; 0.235; 4.30655689; ; ; transit; 2016; 3400; 1.22; 6209; ; 
Kepler-1055b; Planet; ; ; 0.11; 2.29503623; ; ; transit; 2016; 1380; 0.98; 5723; ; 
Kepler-1056b; Planet; ; ; 0.269; 27.495606; ; ; transit; 2016; 3170; 1.12; 6127; ; 
Kepler-1057b; Planet; ; ; 0.3; 14.08827448; ; ; transit; 2016; 4770; 1.07; 5987; ; 
Kepler-1058b; Planet; ; ; 0.243; 110.96546; ; ; transit; 2016; 1710; 0.73; 4644; ; 
Kepler-1059b; Planet; ; ; 0.154; 3.76419105; ; ; transit; 2016; 2200; 0.75; 4906; ; 
Kepler-1060b; Planet; ; ; 0.212; 46.8779367; ; ; transit; 2016; 2810; 0.99; 5797; ; 
Kepler-1061b; Planet; ; ; 0.177; 2.75798267; ; ; transit; 2016; 1910; 1.09; 6067; ; 
Kepler-1062b; Planet; ; ; 0.157; 9.30412078; ; ; transit; 2016; 1270; 0.75; 4597; ; 
Kepler-1063b; Planet; ; ; 0.133; 14.07971466; ; ; transit; 2016; 1190; 1.09; 5945; ; 
Kepler-1064b; Planet; ; ; 0.138; 16.54080322; ; ; transit; 2016; 1220; 0.85; 5153; ; 
Kepler-1065b; Planet; ; ; 0.333; 3.60930891; ; ; transit; 2016; 3520; 0.94; 5635; ; 
Kepler-1065c; Planet; ; ; 0.143; 2.37030743; ; ; transit; 2016; 3520; 0.94; 5635; ; 
Kepler-1066b; Planet; ; ; 0.211; 1.93155984; ; ; transit; 2016; 1300; 0.98; 5762; ; 
Kepler-1067b; Planet; ; ; 0.071; 0.76212926; ; ; transit; 2016; 2250; 0.95; 5592; ; 
Kepler-1068b; Planet; ; ; 0.324; 16.92344113; ; ; transit; 2016; 5000; 1.01; 5806; ; 
Kepler-1069b; Planet; ; ; 0.143; 23.8990296; ; ; transit; 2016; 1420; 0.99; 5722; ; 
Kepler-1070b; Planet; ; ; 0.154; 6.2216147; ; ; transit; 2016; 3400; 1.21; 6261; ; 
Kepler-1071b; Planet; ; ; 0.212; 6.1799844; ; ; transit; 2016; 3140; 0.86; 5215; ; 
Kepler-1072b; Planet; ; ; 0.141; 1.5690665; ; ; transit; 2016; 3180; 1.2; 6199; ; 
Kepler-1073b; Planet; ; ; 0.205; 8.67888593; ; ; transit; 2016; 2730; 1; 5792; ; 
Kepler-1073c; Planet; ; ; 0.146; 4.02582254; ; ; transit; 2016; 2730; 1; 5792; ; 
Kepler-1074b; Planet; ; ; 0.112; 5.94566534; ; ; transit; 2016; 800; 0.6; 4002; ; 
Kepler-1075b; Planet; ; ; 0.127; 1.52372816; ; ; transit; 2016; 860; 0.56; 3959; ; 
Kepler-1076b; Planet; ; ; 0.071; 6.14727918; ; ; transit; 2016; 650; 0.79; 4868; ; 
Kepler-1077b; Planet; ; ; 0.247; 34.3511874; ; ; transit; 2016; 3580; 1.02; 5816; ; 
Kepler-1078b; Planet; ; ; 0.17; 3.00725242; ; ; transit; 2016; 3960; 0.94; 5612; ; 
Kepler-1079b; Planet; ; ; 0.145; 13.24503188; ; ; transit; 2016; 1570; 1.08; 5758; ; 
Kepler-1080b; Planet; ; ; 0.293; 77.2548396; ; ; transit; 2016; 2240; 1.1; 5956; ; 
Kepler-1081b; Planet; ; ; 0.09; 3.85691855; ; ; transit; 2016; 1390; 0.88; 5345; ; 
Kepler-1082b; Planet; ; ; 0.1; 1.5432066; ; ; transit; 2016; 2050; 1.03; 5923; ; 
Kepler-1083b; Planet; ; ; 0.3; 33.4177993; ; ; transit; 2016; 2970; 0.81; 5049; ; 
Kepler-1084b; Planet; ; ; 0.099; 2.05333679; ; ; transit; 2016; 1390; 1.12; 6113; ; 
Kepler-1085b; Planet; ; ; 0.644; 219.3217528; ; ; transit; 2016; 4950; 1.11; 6000; ; 
Kepler-1086b; Planet; ; ; 0.218; 18.78425728; ; ; transit; 2016; 1510; 0.7; 4350; ; 
Kepler-1086c; Planet; ; ; 0.262; 161.5163345; ; ; transit; 2016; 1510; 0.7; 4350; ; 
Kepler-1087b; Planet; ; ; 0.054; 0.69384285; ; ; transit; 2016; 1150; 0.96; 5589; ; 
Kepler-1088b; Planet; ; ; 0.127; 23.12748644; ; ; transit; 2016; 980; 1.08; 5975; ; 
