Fund Name, Type, Replication method, Inception date, Fund size [M€], Distribution policy, WKN, ISIN, 
First Trust Alerian Disruptive Technology Real Estate UCITS ETF Acc, Equity Innovation, Full replication, 31.03.22, 3, Accumulating, A3DGK2, IE000RN036E0, 
First Trust Alerian Disruptive Technology Real Estate UCITS ETF Dist, Equity Innovation, Full replication, 31.03.22, 1, Distributing, A3DGK3, IE000C75IMX8, 
First Trust Indxx NextG UCITS ETF Acc, Equity Innovation, Full replication, 24.06.15, 8, Accumulating, A14S1N, IE00BWTNM743, 
HANetf HAN-GINS Indxx Healthcare Megatrend Equal Weight UCITS ETF, Equity Innovation, Full replication, 04.04.19, 10, Accumulating, A2PFPC, IE00BJQTJ848, 
iShares Healthcare Innovation UCITS ETF, Equity Innovation, Optimized; sampling, 08.09.16, 1103, Accumulating, A2ANH2, IE00BYZK4776, 
Lyxor MSCI Disruptive Technology ESG Filtered (DR) UCITS ETF - Acc, Equity Innovation, Full replication, 02.03.20, 150, Accumulating, LYX0ZG, LU2023678282, 
Xtrackers MSCI Genomic Healthcare Innovation UCITS ETF 1C, Equity Innovation, Full replication, 12.07.22, 3, Accumulating, DBX0R2, IE000KD0BZ68, 
Xtrackers MSCI Innovation UCITS ETF 1C, Equity Innovation, Full replication, 12.07.22, 6, Accumulating, DBX0R4, IE0006FFX5U1, 
Xtrackers Harvest MSCI China Tech 100 UCITS ETF 1C, Equity Innovation, Full replication, 31.03.22, 12, Accumulating, DBX0RQ, LU2376679564, 
Amundi MSCI China Tech ESG Screened UCITS ETF EUR Acc, Equity Innovation, Full replication, 18.04.18, 51, Accumulating, A2H57J, LU1681043912, 
Amundi MSCI China Tech ESG Screened UCITS ETF USD Acc, Equity Innovation, Full replication, 18.04.18, 6, Accumulating, A2H57K, LU1681044050, 
Invesco MSCI China Technology All Shares Stock Connect UCITS ETF Acc, Equity Innovation, Full replication, 11.06.21, 46, Accumulating, A3CMY8, IE00BM8QS095, 
CSIF (IE) MSCI USA Tech 125 ESG Universal Blue UCITS ETF B USD, Equity Innovation, Full replication, 01.03.22, 22, Accumulating, A3C7PK, IE000YKE1AQ5, 
VanEck Genomics and Healthcare Innovators UCITS ETF A, Equity Innovation, Full replication, 02.09.22, 5, Accumulating, A3DSGJ, IE000B9PQW54, 
L&G Healthcare Breakthrough UCITS ETF USD Acc, Equity Innovation, Full replication, 02.07.19, 98, Accumulating, A2PM51, IE00BK5BC677, 
UBS ETF (LU) Solactive China Technology UCITS ETF (USD) A-acc, Equity Innovation, Full replication, 05.03.21, 19, Accumulating, A2QJ9G, LU2265794276, 
UBS ETF (LU) Solactive China Technology UCITS ETF (hedged to EUR) A-acc, Equity Innovation, Full replication, 05.03.21, 5, Accumulating, A2QJ9P, LU2265794946, 
HANetf HAN-GINS Tech Megatrend Equal Weight UCITS ETF, Equity Innovation, Full replication, 05.10.18, 73, Accumulating, A2JR0J, IE00BDDRF700, 
L&G Global Thematic ESG Exclusions UCITS ETF USD Accumulating, Equity Innovation, Optimized; sampling, 01.09.22, 3, Accumulating, A3DHPA, IE000VTOHNZ0, 
L&G Pharma Breakthrough UCITS ETF, Equity Innovation, Full replication, 23.01.18, 45, Accumulating, A2H9XR, IE00BF0H7608, 
Amundi Index Smart Factory UCITS ETF EUR (C), Equity Innovation, Swap based; Unfunded, 01.10.19, 26, Accumulating, A2PN78, LU2037749822, 
Invesco Dow Jones Islamic Global Developed Markets UCITS ETF Acc, Equity Islamic Investing, Full replication, 07.01.22, -, Accumulating, A3C6Z0, IE000UOXRAM8, 
iShares MSCI Emerging Markets Islamic UCITS ETF, Equity Islamic Investing, Full replication, 07.12.07, 210, Distributing, A0NA47, IE00B27YCP72, 
iShares MSCI USA Islamic UCITS ETF, Equity Islamic Investing, Optimized; sampling, 07.12.07, 163, Distributing, A0NA48, IE00B296QM64, 
iShares MSCI World Islamic UCITS ETF, Equity Islamic Investing, Full replication, 07.12.07, 419, Distributing, A0NA46, IE00B27YCN58, 
Amundi ETF S&P Global Luxury UCITS ETF USD, Equity Luxury goods, Swap based; Unfunded, 31.01.18, 65, Accumulating, A2H565, LU1681048713, 
Amundi S&P Global Luxury UCITS ETF EUR (C), Equity Luxury goods, Swap based; Unfunded, 31.01.18, 498, Accumulating, A2H564, LU1681048630, 
Invesco Morningstar US Energy Infrastructure MLP UCITS ETF Acc, Equity MLP, Swap based; Unfunded, 15.05.13, 86, Accumulating, A1T79J, IE00B94ZB998, 
Invesco Morningstar US Energy Infrastructure MLP UCITS ETF Dist, Equity MLP, Swap based; Unfunded, 15.05.13, 182, Distributing, A1T96S, IE00B8CJW150, 
L&G US Energy Infrastructure MLP UCITS ETF, Equity MLP, Swap based; Unfunded, 19.05.14, 34, Distributing, A1XE2P, IE00BHZKHS06, 
Roundhill Ball Metaverse UCITS ETF A USD, Equity Metaverse, Full replication, 22.03.22, -, Accumulating, A3C567, IE00082BU3V4, 
Fidelity Metaverse UCITS ETF ACC-USD, Equity Metaverse, Full replication, 24.08.22, -, Accumulating, A3DNZK, IE000TLLSP66, 
L&G Metaverse ESG Exclusions UCITS ETF USD Accumulating, Equity Metaverse, Full replication, 01.09.22, 3, Accumulating, A3DLEK, IE0004U3TX15, 
HANetf ETC Group Global Metaverse UCITS ETF, Equity Metaverse, Full replication, 15.03.22, 7, Accumulating, A3DE9M, IE000KDY10O3, 
Franklin Metaverse UCITS ETF, Equity Metaverse, Full replication, 06.09.22, 3, Accumulating, A3DRF9, IE000IM4K4K2, 
iShares Metaverse UCITS ETF USD (Acc), Equity Metaverse, Full replication, 07.12.22, 18, Accumulating, A3DRMN, IE000RN58M26, 
HANetf Future of Defence UCITS ETF, Equity Military & Defense, Full replication, 03.07.23, -, Accumulating, A3EB9T, IE000OJ5TQP4, 
VanEck Defense UCITS ETF A, Equity Military & Defense, Full replication, 31.03.23, 57, Accumulating, A3D9M1, IE000YYE6WK5, 
Lyxor MSCI Millennials ESG Filtered (DR) UCITS ETF - Acc, Equity Millennials, Full replication, 10.03.20, 47, Accumulating, LYX0ZL, LU2023678449, 
Frankfurter UCITS ETF Modern Value, Equity Moat, Full replication, 30.06.22, 26, Distributing, FRA3TF, LU2439874319, 
VanEck Morningstar Global Wide Moat UCITS ETF, Equity Moat, Full replication, 07.07.20, 71, Accumulating, A2P6EP, IE00BL0BMZ89, 
VanEck Morningstar US Sustainable Wide Moat UCITS ETF, Equity Moat, Full replication, 16.10.15, 506, Accumulating, A12CCN, IE00BQQP9H09, 
Amundi Multi-Asset Portfolio UCITS ETF Dist, Equity Multi-Asset Strategy, Full replication, 12.04.16, 184, Distributing, ETF701, DE000ETF7011, 
Amundi Multi-Asset Portfolio Defensive UCITS ETF Dist, Equity Multi-Asset Strategy, Full replication, 07.03.18, 24, Distributing, ETF702, DE000ETF7029, 
Amundi Multi-Asset Portfolio Offensive UCITS ETF Dist, Equity Multi-Asset Strategy, Full replication, 07.03.18, 18, Distributing, ETF703, DE000ETF7037, 
SPDR Morningstar Multi-Asset Global Infrastructure UCITS ETF, Equity Multi-Asset Strategy, Optimized; sampling, 14.04.15, 1761, Distributing, A12EAR, IE00BQWJFQ70, 
VanEck Multi-Asset Balanced Allocation UCITS ETF, Equity Multi-Asset Strategy, Optimized; sampling, 14.12.09, 28, Distributing, A1JPFW, NL0009272772, 
VanEck Multi-Asset Conservative Allocation UCITS ETF, Equity Multi-Asset Strategy, Optimized; sampling, 14.12.09, 20, Distributing, A1JPFV, NL0009272764, 
VanEck Multi-Asset Growth Allocation UCITS ETF, Equity Multi-Asset Strategy, Optimized; sampling, 14.12.09, 23, Distributing, A1JPFX, NL0009272780, 
Vanguard LifeStrategy 20% Equity UCITS ETF Accumulating, Equity Multi-Asset Strategy, Full replication, 08.12.20, 46, Accumulating, A2P7TN, IE00BMVB5K07, 
Vanguard LifeStrategy 20% Equity UCITS ETF Distributing, Equity Multi-Asset Strategy, Full replication, 08.12.20, 9, Distributing, A2P7TG, IE00BMVB5L14, 
Vanguard LifeStrategy 40% Equity UCITS ETF Accumulating, Equity Multi-Asset Strategy, Full replication, 08.12.20, 103, Accumulating, A2P7TJ, IE00BMVB5M21, 
Vanguard LifeStrategy 40% Equity UCITS ETF Distributing, Equity Multi-Asset Strategy, Full replication, 08.12.20, 19, Distributing, A2P7TL, IE00BMVB5N38, 
Vanguard LifeStrategy 60% Equity UCITS ETF Accumulating, Equity Multi-Asset Strategy, Full replication, 08.12.20, 240, Accumulating, A2P7TK, IE00BMVB5P51, 
Vanguard LifeStrategy 60% Equity UCITS ETF Distributing, Equity Multi-Asset Strategy, Full replication, 08.12.20, 35, Distributing, A2P7TM, IE00BMVB5Q68, 
Vanguard LifeStrategy 80% Equity UCITS ETF Accumulating, Equity Multi-Asset Strategy, Full replication, 08.12.20, 295, Accumulating, A2P7TF, IE00BMVB5R75, 
Vanguard LifeStrategy 80% Equity UCITS ETF Distributing, Equity Multi-Asset Strategy, Full replication, 08.12.20, 25, Distributing, A2P7TH, IE00BMVB5S82, 
Xtrackers Portfolio Income UCITS ETF 1D, Equity Multi-Asset Strategy, Full replication, 04.02.11, 71, Distributing, A1C1G8, IE00B3Y8D011, 
Rize Pet Care UCITS ETF, Equity Pets, Full replication, 30.03.22, 3, Accumulating, A3DDPP, IE000QRNAC66, 
L&G Optical Technology & Photonics ESG Exclusions UCITS ETF USD Accumulating, Equity Photonics, Full replication, 01.09.22, 3, Accumulating, A3DHPB, IE000QNJAOX1, 
FlexShares Listed Private Equity UCITS ETF, Equity Private Equity, Full replication, 09.12.21, 191, Accumulating, A3C2DX, IE0008ZGI5C1, 
Xtrackers LPX MM Private Equity Swap UCITS ETF 1C, Equity Private Equity, Swap based; Unfunded, 17.01.08, 300, Accumulating, DBX1AN, LU0322250712, 
iShares Listed Private Equity UCITS ETF USD (Dist), Equity Private Equity, Full replication, 16.03.07, 582, Distributing, A0MM0N, IE00B1TXHL60, 
iShares Listed Private Equity UCITS ETF USD (Acc), Equity Private Equity, Full replication, 27.01.22, 6, Accumulating, A3DA9X, IE000D8FCSD8, 
Global X Robotics & Artificial Intelligence UCITS ETF USD Accumulating, Equity Robotics & Automation, Full replication, 16.11.21, 27, Accumulating, A2QPBW, IE00BLCHJB90, 
Global X Robotics & Artificial Intelligence UCITS ETF USD Distributing, Equity Robotics & Automation, Full replication, 16.11.21, 7, Distributing, A2QR33, IE00BLCHJC08, 
iShares Automation & Robotics UCITS ETF, Equity Robotics & Automation, Optimized; sampling, 08.09.16, 2800, Accumulating, A2ANH0, IE00BYZK4552, 
iShares Automation & Robotics UCITS ETF, Equity Robotics & Automation, Optimized; sampling, 19.10.17, 134, Distributing, A2H5ES, IE00BYWZ0333, 
Lyxor MSCI Robotics & AI ESG Filtered UCITS ETF Acc, Equity Robotics & Automation, Swap based; Unfunded, 20.06.18, 292, Accumulating, LYX0ZN, LU1838002480, 
Amundi MSCI Robotics & AI ESG Screened UCITS ETF, Equity Robotics & Automation, Full replication, 11.09.18, 507, Accumulating, A2JSC9, LU1861132840, 
Xtrackers MSCI Global SDG 9 Industry  Innovation & Infrastructure UCITS ETF 1C, Equity Robotics & Automation, Full replication, 13.12.22, 2, Accumulating, DBX0S9, IE0005E47AH7, 
L&G ROBO Global Robotics and Automation UCITS ETF, Equity Robotics & Automation, Full replication, 27.10.14, 820, Accumulating, A12DB1, IE00BMW3QX54, 
iShares MSCI Global Semiconductors UCITS ETF USD (Acc), Equity Semiconductors, Full replication, 03.08.21, 431, Accumulating, A3CVRA, IE000I8KRLL9, 
Amundi MSCI Semiconductors ESG Screened UCITS ETF Acc, Equity Semiconductors, Full replication, 28.03.07, 123, Accumulating, LYX018, LU1900066033, 
Amundi MSCI Semiconductors ESG Screened UCITS ETF Dist, Equity Semiconductors, Full replication, 02.07.20, 5, Distributing, LYX045, LU2090063327, 
VanEck Semiconductor UCITS ETF, Equity Semiconductors, Full replication, 01.12.20, 878, Accumulating, A2QC5J, IE00BMC38736, 
HSBC Nasdaq Global Semiconductor UCITS ETF, Equity Semiconductors, Full replication, 25.01.22, 23, Accumulating, A3C98L, IE000YDZG487, 
VanEck Space Innovators UCITS ETF, Equity Space, Full replication, 24.06.22, 7, Accumulating, A3DP9J, IE000YU9K6K2, 
HANetf Procure Space UCITS ETF Acc, Equity Space, Full replication, 01.06.21, 13, Accumulating, A3CUJ9, IE00BLH3CV30, 
VanEck Uranium and Nuclear Technologies UCITS ETF A, Equity Uranium, Full replication, 03.02.23, 13, Accumulating, A3D47K, IE000M7V94E1, 
HANetf Sprott Uranium Miners UCITS ETF Acc, Equity Uranium, Full replication, 03.05.22, 62, Accumulating, A3DJZY, IE0005YK6564, 
Global X Uranium UCITS ETF USD Accumulating, Equity Uranium, Full replication, 20.04.22, 75, Accumulating, A3DC8S, IE000NDWFGA5, 
Global X Uranium UCITS ETF USD Distributing, Equity Uranium, Full replication, 28.10.22, 7, Distributing, A3DY32, IE000MS9DTS9, 
Lyxor S&P 500 VIX Futures Enhanced Roll UCITS ETF - Acc, Equity Volatility, Swap based; Unfunded, 25.09.12, 101, Accumulating, LYX0PM, LU0832435464, 
Xtrackers MSCI Global SDG 6 Clean Water & Sanitation UCITS ETF 1C, Equity Water, Full replication, 18.01.23, 11, Accumulating, DBX0SN, IE0007WJ6B10, 
Lyxor MSCI Water ESG Filtered (DR) UCITS ETF Dist, Equity Water, Full replication, 09.10.07, 1328, Distributing, LYX0CA, FR0010527275, 
iShares Global Water UCITS ETF, Equity Water, Full replication, 16.03.07, 1913, Distributing, A0MM0S, IE00B1TXK627, 
iShares Global Water UCITS ETF USD (Acc), Equity Water, Full replication, 09.09.21, 25, Accumulating, A3EZ9W, IE000CFH1JX2, 
L&G Clean Water UCITS ETF, Equity Water, Full replication, 02.07.19, 388, Accumulating, A2PM52, IE00BK5BC891, 
Global X Clean Water UCITS ETF, Equity Water, Full replication, 07.12.21, 2, Accumulating, A3CYXG, IE000BWKUES1, 
iShares Global Timber & Forestry UCITS ETF, Equity Wood, Full replication, 12.10.07, 149, Distributing, A0M59G, IE00B27YCF74, 
iShares Global Timber & Forestry UCITS ETF USD (Acc), Equity Wood, Full replication, 03.11.21, 4, Accumulating, A3C5HP, IE0003ZXNJY5, 
iShares Emerging Asia Local Government Bond UCITS ETF, Bonds Government Asia Pacific, Sampling, 02.03.12, 168, Distributing, A1JTNB, IE00B6QGFW01, 
iShares Emerging Asia Local Government Bond UCITS ETF USD (Acc), Bonds Government Asia Pacific, Sampling, 31.05.18, 41, Accumulating, A2JKT1, IE00BFM6T814, 
Vanguard USD Emerging Markets Government Bond UCITS ETF Distributing, Bonds Government Emerging Markets, Sampling, 06.12.16, 403, Distributing, A143JQ, IE00BZ163L38, 
Vanguard USD Emerging Markets Government Bond UCITS ETF Accumulating, Bonds Government Emerging Markets, Sampling, 19.02.19, 233, Accumulating, A2PCCJ, IE00BGYWCB81, 
SPDR Bloomberg Emerging Markets Local Bond UCITS ETF, Bonds Government Emerging Markets, Sampling, 13.05.11, 1680, Distributing, A1JJTV, IE00B4613386, 
SPDR Bloomberg Emerging Markets Local Bond UCITS ETF, Bonds Government Emerging Markets, Sampling, 20.07.18, 135, Accumulating, A2JPTJ, IE00BFWFPY67, 
SPDR Bloomberg Emerging Markets Local Bond UCITS ETF EUR Hedged Acc, Bonds Government Emerging Markets, Sampling, 15.11.19, 119, Accumulating, A2PUE9, IE00BK8JH525, 
Invesco Emerging Markets USD Bond UCITS ETF Dist, Bonds Government Emerging Markets, Sampling, 16.11.17, 21, Distributing, A2DX8T, IE00BF51K132, 
UBS ETF (LU) Bloomberg USD Emerging Markets Sovereign UCITS ETF (USD) A-dis, Bonds Government Emerging Markets, Sampling, 29.01.16, 96, Distributing, A1439E, LU1324516050, 
UBS ETF (LU) Bloomberg USD Emerging Markets Sovereign UCITS ETF (USD) A-acc, Bonds Government Emerging Markets, Sampling, 31.01.18, 4, Accumulating, A1439S, LU1324517454, 
UBS ETF (LU) Bloomberg USD Emerging Markets Sovereign UCITS ETF (hedged to CHF) A-acc, Bonds Government Emerging Markets, Sampling, 31.03.16, 7, Accumulating, A1439M, LU1324516720, 
UBS ETF (LU) Bloomberg USD Emerging Markets Sovereign UCITS ETF (hedged to EUR) A-acc, Bonds Government Emerging Markets, Sampling, 29.04.16, 206, Accumulating, A1439H, LU1324516308, 
UBS ETF (LU) Bloomberg USD Emerging Markets Sovereign UCITS ETF (hedged to GBP) A-dis, Bonds Government Emerging Markets, Sampling, 29.04.16, 140, Distributing, A1439J, LU1324516480, 
Xtrackers USD Emerging Markets Bond UCITS ETF 2D, Bonds Government Emerging Markets, Sampling, 09.05.18, 150, Distributing, DBX0MB, LU0677077884, 
Xtrackers II USD Emerging Markets Bond UCITS ETF 2C, Bonds Government Emerging Markets, Sampling, 11.03.20, 2, Accumulating, DBX0RD, LU1920015440, 
Xtrackers Emerging Markets USD Government and Government-Related Bond Select UCITS ETF 1C EUR hedged, Bonds Government Emerging Markets, Sampling, 06.05.08, 152, Accumulating, DBX0AV, LU0321462953, 
Xtrackers II USD Emerging Markets Bond UCITS ETF 1D EUR Hedged, Bonds Government Emerging Markets, Optimized; sampling, 14.10.21, 1, Distributing, DBX0QY, LU2361257269, 
Lyxor iBoxx USD Liquid Emerging Markets Sovereigns UCITS ETF - Dist, Bonds Government Emerging Markets, Swap based; Unfunded, 06.12.10, 81, Distributing, LYX0Y5, LU1686830909, 
Amundi Global Emerging Bond Markit iBoxx UCITS ETF USD, Bonds Government Emerging Markets, Full replication, 27.02.18, 90, Accumulating, A2H58H, LU1681041205, 
SPDR ICE BofA 0-5 Year EM USD Government Bond UCITS ETF, Bonds Government Emerging Markets, Sampling, 12.11.14, 114, Distributing, A119P6, IE00BP46NG52, 
SPDR ICE BofA 0-5 Year EM USD Government Bond UCITS ETF EUR Hedged Acc, Bonds Government Emerging Markets, Sampling, 14.06.19, 63, Accumulating, A2PJDY, IE00BJL36X53, 
Tabula GCC Sovereign USD Bonds UCITS ETF (USD) Acc, Bonds Government Emerging Markets, Full replication, 06.01.23, 28, Accumulating, A3DTFD, IE000L1I4R94, 
Tabula GCC Sovereign USD Bonds UCITS ETF (USD) GBP Hedged Dist, Bonds Government Emerging Markets, Full replication, 10.02.23, 8, Distributing, A3DTFY, IE000LJG9WK1, 
iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Dist), Bonds Government Emerging Markets, Sampling, 15.02.08, 4654, Distributing, A0NECU, IE00B2NPKV68, 
iShares J.P. Morgan USD Emerging Markets Bond UCITS ETF (Acc), Bonds Government Emerging Markets, Sampling, 13.04.17, 972, Accumulating, A2DN9U, IE00BYXYYK40, 
iShares J.P. Morgan USD EM Bond CHF Hedged UCITS ETF (Dist), Bonds Government Emerging Markets, Sampling, 14.04.15, 193, Distributing, A1W2EQ, IE00B9M04V95, 
iShares J.P. Morgan USD EM Bond UCITS ETF CHF (Acc), Bonds Government Emerging Markets, Sampling, 14.05.19, 56, Accumulating, A2PJDS, IE00BGQ0J979, 
iShares J.P. Morgan USD EM Bond EUR Hedged UCITS ETF (Dist), Bonds Government Emerging Markets, Sampling, 08.07.13, 2167, Distributing, A1W0MQ, IE00B9M6RS56, 
iShares J.P. Morgan USD EM Bond UCITS ETF (Acc), Bonds Government Emerging Markets, Sampling, 26.04.19, 157, Accumulating, A2PGVX, IE00BJ5JPH63, 
iShares J.P. Morgan USD EM Investment Grade Bond UCITS ETF USD (Acc), Bonds Government Emerging Markets, Sampling, 25.03.21, 317, Accumulating, A2P1KW, IE00BKPT2T41, 
iShares J.P. Morgan USD EM Investment Grade Bond UCITS ETF USD (Dist), Bonds Government Emerging Markets, Sampling, 25.03.21, 6, Distributing, A2P5DB, IE00B8JDT196, 
iShares J.P. Morgan EM Local Government Bond UCITS ETF, Bonds Government Emerging Markets, Sampling, 20.06.11, 4432, Distributing, A1JADV, IE00B5M4WH52, 
iShares J.P. Morgan Emerging Markets Local Government Bond UCITS ETF USD (Acc), Bonds Government Emerging Markets, Sampling, 31.05.18, 459, Accumulating, A2JK8Z, IE00BFZPF546, 
UBS ETF (LU) J.P. Morgan EM Multi-Factor Enhanced Local Currency Bond UCITS ETF (USD) A-dis, Bonds Government Emerging Markets, Sampling, 05.09.18, 49, Distributing, A2JBPA, LU1720938841, 
UBS ETF (LU) J.P. Morgan EM Multi-Factor Enhanced Local Currency Bond UCITS ETF (USD) A-acc, Bonds Government Emerging Markets, Sampling, 06.06.19, 83, Accumulating, A2PK5K, LU1720938924, 
JPMorgan USD Emerging Markets Sovereign Bond UCITS ETF - USD (Dist), Bonds Government Emerging Markets, Sampling, 15.02.18, 54, Distributing, A2JBL7, IE00BDFC6G93, 
JPMorgan USD Emerging Markets Sovereign Bond UCITS ETF, Bonds Government Emerging Markets, Sampling, 03.12.19, 63, Accumulating, A2PUSX, IE00BJ06C937, 
JPMorgan USD Emerging Markets Sovereign Bond UCITS ETF CHF Hedged (acc), Bonds Government Emerging Markets, Full replication, 21.01.20, 4, Accumulating, A2PXER, IE00BL2F2474, 
JPMorgan USD Emerging Markets Sovereign Bond UCITS ETF - EUR Hedged (acc), Bonds Government Emerging Markets, Sampling, 10.10.18, 335, Accumulating, A2JQ3G, IE00BDDRDY39, 
iShares J.P. Morgan Euro EM Bond UCITS ETF EUR (Dist), Bonds Government Emerging Markets, Sampling, 29.03.21, 25, Distributing, A1JTNA, IE00B6TQLL84, 
VanEck J.P. Morgan EM Local Currency Bond UCITS ETF, Bonds Government Emerging Markets, Sampling, 07.04.17, 121, Accumulating, A2DQKN, IE00BDS67326, 
Xtrackers II J.P. Morgan EM Local Government Bond UCITS ETF 1D, Bonds Government Emerging Markets, Sampling, 12.04.23, 50, Distributing, A2P263, LU2158769930, 
PIMCO Emerging Markets Advantage Local Bond Index UCITS ETF Acc, Bonds Government Emerging Markets, Sampling, 19.09.11, 220, Accumulating, A1JJ9J, IE00B4P11460, 
PIMCO Emerging Markets Advantage Local Bond Index UCITS ETF Dist, Bonds Government Emerging Markets, Sampling, 23.01.14, 95, Distributing, A1W95H, IE00BH3X8336, 
SPDR Bloomberg 1-3 Year Euro Government Bond UCITS ETF, Bonds Government Europe, Sampling, 14.11.11, 557, Distributing, A1JKSV, IE00B6YX5F63, 
iShares Core Euro Government Bond UCITS ETF (Dist), Bonds Government Europe, Sampling, 17.04.09, 4076, Distributing, A0RL83, IE00B4WXJJ64, 
Vanguard EUR Eurozone Government Bond UCITS ETF Distributing, Bonds Government Europe, Sampling, 24.02.16, 666, Distributing, A143JL, IE00BZ163H91, 
Vanguard EUR Eurozone Government Bond UCITS ETF Accumulating, Bonds Government Europe, Sampling, 19.02.19, 1137, Accumulating, A2PA8D, IE00BH04GL39, 
iShares Euro Government Bond 1-3yr UCITS ETF (Dist), Bonds Government Europe, Sampling, 05.06.06, 1181, Distributing, A0J205, IE00B14X4Q57, 
iShares Euro Government Bond 1-3yr UCITS ETF (Acc), Bonds Government Europe, Sampling, 02.06.09, 1293, Accumulating, A0X8SK, IE00B3VTMJ91, 
iShares Euro Government Bond 7-10yr UCITS ETF EUR (Dist), Bonds Government Europe, Sampling, 08.12.06, 883, Distributing, A0LGQA, IE00B1FZS806, 
iShares Euro Government Bond 7-10yr UCITS ETF (Acc), Bonds Government Europe, Sampling, 02.06.09, 432, Accumulating, A0X8SM, IE00B3VTN290, 
SPDR Bloomberg 10+ Year Euro Government Bond UCITS ETF, Bonds Government Europe, Sampling, 17.02.16, 17, Distributing, A2ACRK, IE00BYSZ6062, 
iShares Euro Government Bond 10-15yr UCITS ETF, Bonds Government Europe, Sampling, 17.04.09, 70, Distributing, A0RL82, IE00B4WXJH41, 
iShares Euro Government Bond 15-30yr UCITS ETF (Dist), Bonds Government Europe, Sampling, 08.12.06, 1035, Distributing, A0LGP5, IE00B1FZS913, 
iShares Euro Government Bond 3-7yr UCITS ETF (Acc), Bonds Government Europe, Sampling, 02.06.09, 679, Accumulating, A0X8SL, IE00B3VTML14, 
iShares Euro Government Bond 3-5yr UCITS ETF, Bonds Government Europe, Sampling, 08.12.06, 2330, Distributing, A0LGP6, IE00B1FZS681, 
iShares Euro Government Bond 5-7yr UCITS ETF, Bonds Government Europe, Sampling, 17.04.09, 537, Distributing, A0RL81, IE00B4WXJG34, 
Invesco Euro Government Bond 1-3 Year UCITS ETF Dist, Bonds Government Europe, Sampling, 28.08.19, 191, Distributing, A2N7D4, IE00BGJWWY63, 
Invesco Euro Government Bond 3-5 Year UCITS ETF Dist, Bonds Government Europe, Sampling, 28.08.19, 131, Distributing, A2PM7L, IE00BGJWWV33, 
Invesco Euro Government Bond 5-7 Year UCITS ETF Dist, Bonds Government Europe, Sampling, 28.08.19, 5, Distributing, A2PM7M, IE00BGJWWT11, 
Invesco Euro Government Bond 7-10 Year UCITS ETF Dist, Bonds Government Europe, Sampling, 28.08.19, 9, Distributing, A2PM7N, IE00BGJWWW40, 
UBS ETF (LU) Bloomberg EUR Treasury 1-10 UCITS ETF (EUR) A-dis, Bonds Government Europe, Sampling, 29.11.13, 475, Distributing, A1W40U, LU0969639128, 
Lyxor Euro Government Bond 1-3Y (DR) UCITS ETF - Acc, Bonds Government Europe, Full replication, 22.09.05, 1239, Accumulating, LYX0XH, LU1650487413, 
Lyxor Euro Government Bond 1-3Y (DR) UCITS ETF - Dist, Bonds Government Europe, Full replication, 17.09.20, 18, Distributing, LYX04X, LU1650487926, 
Lyxor Euro Government Bond 10-15Y (DR) UCITS ETF - Acc, Bonds Government Europe, Full replication, 28.01.04, 612, Accumulating, LYX0XF, LU1650489385, 
Lyxor Euro Government Bond 10-15Y (DR) UCITS ETF - Dist, Bonds Government Europe, Full replication, 17.09.20, 13, Distributing, LYX04W, LU1650489898, 
Lyxor Euro Government Bond 15+Y (DR) UCITS ETF - Acc, Bonds Government Europe, Full replication, 20.06.07, 68, Accumulating, LYX0VF, LU1287023268, 
Lyxor Euro Government Bond 15+Y (DR) UCITS ETF - Dist, Bonds Government Europe, Full replication, 24.09.20, 4, Distributing, LYX04Y, LU2090062782, 
Lyxor Euro Government Bond 25+Y (DR) UCITS ETF - Acc, Bonds Government Europe, Full replication, 02.03.15, 165, Accumulating, LYX0ZA, LU1686832194, 
Lyxor Euro Government Bond 25+Y (DR) UCITS ETF - Dist, Bonds Government Europe, Full replication, 24.09.20, 8, Distributing, LYX048, LU1686832277, 
Lyxor Euro Government Bond 3-5Y (DR) UCITS ETF - Acc, Bonds Government Europe, Full replication, 28.01.04, 1147, Accumulating, LYX0XJ, LU1650488494, 
SPDR Bloomberg 3-5 Year Euro Government Bond UCITS ETF, Bonds Government Europe, Sampling, 03.12.14, 65, Distributing, A12DYT, IE00BS7K8821, 
Lyxor Euro Government Bond 3-5Y (DR) UCITS ETF - Dist, Bonds Government Europe, Full replication, 17.09.20, 5, Distributing, LYX04Z, LU1650488817, 
Lyxor Euro Government Bond 5-7Y (DR) UCITS ETF - Acc, Bonds Government Europe, Full replication, 18.01.07, 295, Accumulating, LYX0VG, LU1287023003, 
Lyxor Euro Government Bond 5-7Y (DR) UCITS ETF - Dist, Bonds Government Europe, Full replication, 17.09.20, 12, Distributing, LYX040, LU2090062865, 
Lyxor Euro Government Bond 7-10Y (DR) UCITS ETF - Acc, Bonds Government Europe, Full replication, 18.01.07, 1383, Accumulating, LYX0VH, LU1287023185, 
Lyxor Euro Government Bond 7-10Y (DR) UCITS ETF - Dist, Bonds Government Europe, Full replication, 17.09.20, 27, Distributing, LYX041, LU2090062949, 
Lyxor Euro Government Bond (DR) UCITS ETF - Acc, Bonds Government Europe, Full replication, 08.12.03, 1156, Accumulating, LYX0XK, LU1650490474, 
Lyxor Euro Government Bond (DR) UCITS ETF - Dist, Bonds Government Europe, Full replication, 04.11.19, 22, Distributing, LYX03D, LU1650490805, 
