Country,week day,day,meaning,type,notes
italy,Tuesday,Dec 08,Immaculate Conception Day,Immacolata Concezione,Public Holiday
italy,Friday,Dec 25,Christmas Day,Natale,Public Holiday
italy,Saturday,Dec 26,St. Stephen's Day,Santo Stefano,Public Holiday
ivory-coast,Thursday,Jan 01,New Year's Day,National Holiday,
ivory-coast,Tuesday,Mar 17,Revelation of the Qur'an,National Holiday,Celebrated on the 27th day of Ramadan
ivory-coast,Friday,Mar 20,Korité,National Holiday,End of Ramadan
ivory-coast,Monday,Apr 06,Easter Monday,National Holiday,
ivory-coast,Friday,May 01,Labour Day,National Holiday,International Workers' Day
ivory-coast,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
ivory-coast,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
ivory-coast,Thursday,May 28,Tabaski,National Holiday,Feast of the Sacrifice
ivory-coast,Friday,Aug 07,Independence Day,National Holiday,National Day
ivory-coast,Saturday,Aug 15,Assumption Day,National Holiday,
ivory-coast,Tuesday,Aug 25,Prophet's Birthday,National Holiday,Birthday of Prophet Muhammad
ivory-coast,Sunday,Nov 01,All Saints' Day,National Holiday,
ivory-coast,Sunday,Nov 15,National Peace Day,National Holiday,
ivory-coast,Friday,Dec 25,Christmas Day,National Holiday,
jamaica,Thursday,Jan 01,New Year's Day,National Holiday,
jamaica,Wednesday,Feb 18,Ash Wednesday,National Holiday,
jamaica,Friday,Apr 03,Good Friday,National Holiday,
jamaica,Sunday,Apr 05,Easter Day,National Holiday,
jamaica,Monday,Apr 06,Easter Monday,National Holiday,
jamaica,Saturday,May 23,Labour Day,National Holiday,
jamaica,Monday,May 25,Labour Day (in lieu),National Holiday,
jamaica,Saturday,Aug 01,Emancipation Day,National Holiday,
jamaica,Thursday,Aug 06,Independence Day,National Holiday,National Day
jamaica,Monday,Oct 19,National Heroes' Day,National Holiday,Third Monday in October
jamaica,Friday,Dec 25,Christmas Day,National Holiday,
jamaica,Saturday,Dec 26,Boxing Day,National Holiday,
japan,Thursday,Jan 01,New Year's Day,National Holiday,
japan,Monday,Jan 12,Coming-of-Age Day,National Holiday,2nd Monday of January
japan,Wednesday,Feb 11,National Foundation Day,National Holiday,National Day
japan,Monday,Feb 23,The Emperor's Birthday,National Holiday,Feb 23 or following Monday if it falls on a Sunday
japan,Friday,Mar 20,Vernal Equinox Day,National Holiday,March 20 or March 21
japan,Wednesday,Apr 29,Showa Day,National Holiday,Part of Golden Week
japan,Monday,May 04,Greenery Day,National Holiday,Part of Golden Week
japan,Tuesday,May 05,Children's Day,National Holiday,Part of Golden Week
japan,Wednesday,May 06,Constitution Memorial Day (in lieu),National Holiday,Part of Golden Week
japan,Monday,Jul 20,Marine Day,National Holiday,3rd Monday of July
japan,Tuesday,Aug 11,Mountain Day,National Holiday,
japan,Thursday,Aug 13,Obon,Not A Public Holiday,Not a public holiday
japan,Friday,Aug 14,Obon,Not A Public Holiday,Not a public holiday
japan,Saturday,Aug 15,Obon,Not A Public Holiday,Not a public holiday
japan,Monday,Sep 21,Respect for the Aged Day,National Holiday,3rd Monday of September
japan,Tuesday,Sep 22,Extra holiday for Silver Week,National Holiday,3rd Monday of September
japan,Wednesday,Sep 23,Autumnal Equinox Day,National Holiday,
japan,Monday,Oct 12,Health-Sports Day,National Holiday,2nd Monday of October
japan,Tuesday,Nov 03,Culture Day,National Holiday,Nov 3 or following Monday if it falls on a Sunday
japan,Monday,Nov 23,Labour Thanksgiving Day,National Holiday,Nov 23 or following Monday if it falls on a Sunday.
jersey,Thursday,Jan 01,New Year's Day,National Holiday,
jersey,Sunday,Mar 15,Mothering Sunday,Not A Public Holiday,Not a Public Holiday
jersey,Friday,Apr 03,Good Friday,National Holiday,
jersey,Monday,Apr 06,Easter Monday,National Holiday,
jersey,Monday,May 04,May Bank Holiday,National Holiday,First Monday in May
jersey,Saturday,May 09,Liberation day,National Holiday,National Day
jersey,Monday,May 25,Spring Bank Holiday,National Holiday,Last Monday in May
jersey,Sunday,Jun 21,Father's Day,Not A Public Holiday,Not a Public Holiday
jersey,Monday,Aug 31,Summer Bank Holiday,National Holiday,Last Monday in August
jersey,Friday,Dec 25,Christmas Day,National Holiday,
jersey,Monday,Dec 28,Boxing Day (in lieu),National Holiday,
jordan,Thursday,Jan 01,New Year's Day,
jordan,Friday,Mar 20,Eid Al Fitr,Religious Holiday
jordan,Saturday,Mar 21,Eid Al Fitr Holiday,Religious Holiday
jordan,Sunday,Mar 22,Eid Al Fitr Holiday,Religious Holiday
jordan,Monday,Mar 23,Eid Al Fitr Holiday,Religious Holiday
jordan,Friday,May 01,Labour Day,National Holiday
jordan,Sunday,May 24,Independence Day (in lieu),National Holiday
jordan,Monday,May 25,Independence Day,National Holiday
jordan,Thursday,May 28,Eid Al-Adha,Religious Holiday
jordan,Friday,May 29,Eid Al-Adha Holiday,Religious Holiday
jordan,Saturday,May 30,Eid Al-Adha Holiday,Religious Holiday
jordan,Sunday,May 31,Eid Al-Adha Holiday,Religious Holiday
jordan,Tuesday,Jun 16,Hijri New Year,Religious Holiday
jordan,Tuesday,Aug 25,Birthday of Prophet Muhammed,Religious Holiday
jordan,Friday,Dec 25,Christmas Day,Religious Holiday
kazakhstan,Thursday,Jan 01,New Year's Day,National Holiday,
kazakhstan,Friday,Jan 02,Day after New Year's Day,National Holiday,
kazakhstan,Wednesday,Jan 07,Orthodox Christmas Day,National Holiday,
kazakhstan,Monday,Mar 09,Women's Day (in lieu),National Holiday,
kazakhstan,Saturday,Mar 21,Nauryz,National Holiday,Persian New Year
kazakhstan,Sunday,Mar 22,Nauryz Holiday,National Holiday,
kazakhstan,Monday,Mar 23,Nauryz Holiday,National Holiday,
kazakhstan,Tuesday,Mar 24,Nauryz Holiday,National Holiday,
kazakhstan,Wednesday,Mar 25,Nauryz Holiday,National Holiday,
kazakhstan,Friday,May 01,People Solidarity Holiday,National Holiday,Unity Day
kazakhstan,Thursday,May 07,Defender's Day,National Holiday,Defender of the Fatherland Day
kazakhstan,Monday,May 11,Victory Day (in lieu),National Holiday,
kazakhstan,Wednesday,May 27,Kurban Ait,National Holiday,Feast of the Sacrifice
kazakhstan,Monday,Jul 06,Capital City Day,National Holiday,
kazakhstan,Monday,Aug 31,Constitution Day (in lieu),National Holiday,
kazakhstan,Sunday,Oct 25,Republic Day,National Holiday,National Day
kazakhstan,Wednesday,Dec 16,Independence Day,National Holiday,
kenya,Thursday,Jan 01,New Year's Day,National Holiday,
kenya,Friday,Mar 20,Idd-ul-Fitr,National Holiday,Date varies on Lunar cycle
kenya,Friday,Apr 03,Good Friday,National Holiday,
kenya,Monday,Apr 06,Easter Monday,National Holiday,
kenya,Friday,May 01,Labour Day,National Holiday,International Workers' Day
kenya,Thursday,May 28,Idd-ul-Azha,National Holiday,Sacrifice Feast
kenya,Monday,Jun 01,Madaraka Day,National Holiday,
kenya,Saturday,Oct 10,Mazingira Day,National Holiday,National Culture Day
kenya,Tuesday,Oct 20,Mashujaa Day,National Holiday,
kenya,Saturday,Dec 12,Jamhuri Day,National Holiday,National Day
kenya,Friday,Dec 25,Christmas Day,National Holiday,
kenya,Saturday,Dec 26,Boxing Day,National Holiday,
kiribati,Thursday,Jan 01,New Year's Day,Public Holiday,
kiribati,Friday,Jan 02,Kiribati Holiday,Public Holiday,
kiribati,Monday,Mar 09,Women's Day (in lieu),Public Holiday,
kiribati,Friday,Apr 03,Good Friday,Public Holiday,
kiribati,Monday,Apr 06,Easter Monday,Public Holiday,
kiribati,Tuesday,Apr 07,National Health Day,Public Holiday,
kiribati,Friday,May 01,Labour Day,Public Holiday,International Workers' Day
kiribati,Monday,Jun 22,Police National Day,Public Holiday,
kiribati,Friday,Jul 10,Gospel Day,Public Holiday,
kiribati,Monday,Jul 13,Kiribati National Day (in lieu),Public Holiday,
kiribati,Tuesday,Jul 14,National Culture and Senior Citizens Day (in lieu),Public Holiday,
kiribati,Wednesday,Jul 15,Kiribati Special Day Holiday,Public Holiday,
kiribati,Monday,Aug 03,Kiribati Youth Day,Public Holiday,
kiribati,Monday,Oct 05,Education Day,Public Holiday,
kiribati,Friday,Dec 11,International Human Rights Day (in lieu),Public Holiday,
kiribati,Friday,Dec 25,Christmas Day,Public Holiday,
kiribati,Monday,Dec 28,Boxing Day (in lieu),Public Holiday,
kiribati,Tuesday,Dec 29,Kiribati Holiday,Public Holiday,
kiribati,Wednesday,Dec 30,Kiribati Holiday,Public Holiday,
kiribati,Thursday,Dec 31,Kiribati Holiday,Public Holiday,
kosovo,Thursday,Jan 01,New Year's Day,National Holiday,
kosovo,Friday,Jan 02,Day after New Year's Day,National Holiday,
kosovo,Wednesday,Jan 07,Orthodox Christmas,National Holiday,
kosovo,Tuesday,Feb 17,Independence Day,National Holiday,
kosovo,Friday,Mar 20,Eid ul-Fitr,National Holiday,End of Ramadan
kosovo,Monday,Apr 06,Catholic Easter Monday,National Holiday,
kosovo,Thursday,Apr 09,Constitution Day,National Holiday,
kosovo,Sunday,Apr 12,Orthodox Easter Day,National Holiday,
kosovo,Monday,Apr 13,Orthodox Easter Monday,National Holiday,
kosovo,Friday,May 01,Labour Day,National Holiday,International Workers' Day
kosovo,Saturday,May 09,Europe Day,National Holiday,
kosovo,Thursday,May 28,Eid ul-Adha,National Holiday,Feast of the Sacrifice
kosovo,Friday,Dec 25,Catholic Christmas,National Holiday,
kuwait,Thursday,Jan 01,New Year's Day,National Holiday,
kuwait,Sunday,Jan 18,Isra'a Wal Miraj,National Holiday,
kuwait,Wednesday,Feb 25,National Day,National Holiday,
kuwait,Thursday,Feb 26,Liberation Day,National Holiday,
kuwait,Friday,Mar 20,Eid al-Fitr,National Holiday,End of Ramadan
kuwait,Saturday,Mar 21,Eid al-Fitr Holiday,National Holiday,
kuwait,Sunday,Mar 22,Eid al-Fitr Holiday,National Holiday,
kuwait,Monday,Mar 23,Eid al-Fitr Holiday,National Holiday,
kuwait,Tuesday,May 26,Arafat Day,National Holiday,
kuwait,Wednesday,May 27,Eid Al-Adha,National Holiday,Feast of the Sacrifice
kuwait,Thursday,May 28,Eid Al Adha Holiday,National Holiday,
kuwait,Friday,May 29,Eid Al Adha Holiday,National Holiday,
kuwait,Saturday,May 30,Eid Al Adha Holiday,National Holiday,
kuwait,Sunday,May 31,Eid Al Adha Holiday,National Holiday,
kuwait,Tuesday,Jun 16,Hijri New Year,National Holiday,Islamic New Year
kuwait,Thursday,Aug 27,Birthday of Prophet Muhammed,National Holiday,
kyrgyzstan,Thursday,Jan 01,New Year's Day,National Holiday,
kyrgyzstan,Friday,Jan 02,New Year Holidays,National Holiday,
kyrgyzstan,Saturday,Jan 03,New Year Holidays,National Holiday,
kyrgyzstan,Sunday,Jan 04,New Year Holidays,National Holiday,
kyrgyzstan,Monday,Jan 05,New Year Holidays,National Holiday,
kyrgyzstan,Tuesday,Jan 06,New Year Holidays,National Holiday,
kyrgyzstan,Wednesday,Jan 07,Christmas Day,National Holiday,
kyrgyzstan,Thursday,Jan 08,New Year Holidays,National Holiday,
kyrgyzstan,Friday,Jan 09,New Year Holidays,National Holiday,
kyrgyzstan,Saturday,Jan 10,New Year Holidays,National Holiday,
kyrgyzstan,Sunday,Jan 11,New Year Holidays,National Holiday,
kyrgyzstan,Monday,Jan 12,New Year Holidays,National Holiday,
kyrgyzstan,Monday,Feb 23,Fatherland Defender's Day,Not A Public Holiday,Regular working day
kyrgyzstan,Sunday,Mar 08,Women's Day,National Holiday,
kyrgyzstan,Friday,Mar 20,Orozo Ait,National Holiday,End of Ramadan
kyrgyzstan,Saturday,Mar 21,Nooruz,National Holiday,
kyrgyzstan,Tuesday,Apr 07,Day of the People's April Revolution,Not A Public Holiday,Regular working day
kyrgyzstan,Friday,May 01,International Labour Day,National Holiday,International Workers' Day
kyrgyzstan,Saturday,May 02,International Labour Day Holiday,National Holiday,International Workers' Day
kyrgyzstan,Sunday,May 03,International Labour Day Holiday,National Holiday,International Workers' Day
kyrgyzstan,Monday,May 04,International Labour Day Holiday,National Holiday,International Workers' Day
kyrgyzstan,Tuesday,May 05,Constitution Day,National Holiday,
kyrgyzstan,Wednesday,May 06,Non-working Public Holiday,National Holiday,
kyrgyzstan,Thursday,May 07,Non-working Public Holiday,National Holiday,
kyrgyzstan,Saturday,May 09,Day of Victory,National Holiday,
kyrgyzstan,Thursday,May 28,Kurman Ait,National Holiday,Feast of the Sacrifice
kyrgyzstan,Monday,Aug 31,Independence Day,National Holiday,
kyrgyzstan,Saturday,Nov 07,Days of History and Commemoration of Ancestors,Not A Public Holiday,Regular working day
kyrgyzstan,Sunday,Nov 08,Days of History and Commemoration of Ancestors,Not A Public Holiday,Regular working day
lao,Thursday,Jan 01,International New Year's Day,National Holiday,
lao,Sunday,Mar 08,International Women's Day,National Holiday,
lao,Monday,Mar 09,International Women's Day (in lieu),National Holiday,
lao,Tuesday,Apr 14,Lao New Year,National Holiday,Pii Mai
lao,Wednesday,Apr 15,Lao New Year Holiday,National Holiday,
lao,Thursday,Apr 16,Lao New Year Holiday,National Holiday,
lao,Friday,May 01,International Labour Day,National Holiday,
lao,Monday,Jul 20,Women's Union Establishment Day,National Holiday,
lao,Wednesday,Oct 07,BOL Establishment Day,Not A Public Holiday,Banks only
lao,Monday,Oct 26,End of Buddhist Lent Day,National Holiday,End of Buddhist Lent
lao,Tuesday,Oct 27,Boat Racing Festival,National Holiday,Celebrates the end of Buddhist Lent
lao,Tuesday,Nov 24,That Luang Festival,National Holiday,Full moon in early November
lao,Wednesday,Dec 02,National Day,National Holiday,
latvia,Thursday,Jan 01,New Year's Day,National Holiday,
latvia,Friday,Apr 03,Good Friday,National Holiday,
latvia,Monday,Apr 06,Easter Monday,National Holiday,
latvia,Friday,May 01,Labour Day,National Holiday,International Workers' Day
latvia,Tuesday,May 05,Declaration of Independence Day (in lieu),National Holiday,
latvia,Sunday,May 10,Mother's Day,Not A Public Holiday,2nd Sunday in May. Not a public holiday
latvia,Tuesday,Jun 23,Midsummer Eve,National Holiday,
latvia,Wednesday,Jun 24,Jāņi,National Holiday,Midsummer Day
latvia,Sunday,Sep 13,Father's Day,Not A Public Holiday,2nd Sunday in September. Not a public holiday
latvia,Wednesday,Nov 18,National Day,National Holiday,
latvia,Thursday,Dec 24,Christmas Eve,National Holiday,
latvia,Friday,Dec 25,Christmas Day,National Holiday,
latvia,Saturday,Dec 26,Second day of Christmas,National Holiday,
latvia,Thursday,Dec 31,New Year's Eve,National Holiday,
lebanon,Thursday,Jan 01,New Year's Day,National Holiday,
lebanon,Tuesday,Jan 06,Armenian Orthodox Christmas Day,National Holiday,
lebanon,Monday,Feb 09,St. Maroun Day,National Holiday,
lebanon,Saturday,Feb 14,Rafik Hariri Memorial Day,National Holiday,
lebanon,Friday,Mar 20,Eid Al-Fitr,National Holiday,End of Ramadan
lebanon,Saturday,Mar 21,Eid Al-Fitr Holiday,National Holiday,End of Ramadan
lebanon,Wednesday,Mar 25,Feast of the Annunciation,National Holiday,
lebanon,Friday,Apr 03,Good Friday (Western Church),National Holiday,
lebanon,Sunday,Apr 05,Easter Sunday,National Holiday,
lebanon,Friday,Apr 10,Good Friday (Eastern Church),National Holiday,
lebanon,Sunday,Apr 12,Orthodox Easter Day,National Holiday,
lebanon,Friday,May 01,Labour Day,National Holiday,International Workers' Day
lebanon,Monday,May 25,Resistance and Liberation Day,National Holiday,
lebanon,Thursday,May 28,Eid Al Adha,National Holiday,Feast of the Sacrifice
lebanon,Friday,May 29,Eid Al Adha Holiday,National Holiday,Feast of the Sacrifice
lebanon,Tuesday,Jun 16,Hijri New Year,National Holiday,Islamic New Year
lebanon,Friday,Jun 26,Ashoura,National Holiday,10 Muharram
lebanon,Saturday,Aug 15,Assumption Day,National Holiday,
lebanon,Tuesday,Aug 25,Birthday of Prophet Muhammed,National Holiday,
lebanon,Sunday,Nov 22,Independence Day,National Holiday,National Day
lebanon,Friday,Dec 25,Christmas Day,National Holiday,
lesotho,Thursday,Jan 01,New Year's Day,
lesotho,Wednesday,Mar 11,Moshoeshoe I's Day,
lesotho,Friday,Apr 03,Good Friday,
lesotho,Monday,Apr 06,Easter Monday,
lesotho,Friday,May 01,Worker's Day,International Workers' Day
lesotho,Thursday,May 14,Ascension Day,39 days after Easter Sunday
lesotho,Monday,May 25,Africa Day,Heroes' Day
lesotho,Friday,Jul 17,King's Birthday,
lesotho,Sunday,Oct 04,Independence Day,National Day
lesotho,Friday,Dec 25,Christmas Day,
liberia,Thursday,Jan 01,New Year's Day,National Holiday,
liberia,Wednesday,Feb 11,Armed Forces Day,National Holiday,Tatmadaw Day
liberia,Wednesday,Mar 11,Decoration Day,National Holiday,Second Wednesday of March
liberia,Sunday,Mar 15,J.J. Roberts' Birthday,National Holiday,
liberia,Monday,Mar 16,J.J. Roberts' Birthday (in lieu),National Holiday,
liberia,Friday,Apr 10,Fast and Prayer Day,National Holiday,Second Friday of April
liberia,Sunday,Apr 12,National Redemption Day,National Holiday,
liberia,Thursday,May 14,National Unification Day,National Holiday,
liberia,Sunday,Jul 26,Independence Day,National Holiday,National Day
liberia,Monday,Jul 27,Independence Day (in lieu),National Holiday,National Day
liberia,Monday,Aug 24,Flag Day,National Holiday,
liberia,Thursday,Nov 05,National Thanksgiving Day,National Holiday,First Thursday of November
liberia,Sunday,Nov 29,William Tubman's Birthday,National Holiday,
liberia,Monday,Nov 30,William Tubman's Birthday (in lieu),National Holiday,
liberia,Friday,Dec 25,Christmas Day,National Holiday,
libya,Tuesday,Feb 17,February 17th Revolution,National Holiday,National Day
libya,Friday,Mar 20,Eid al-Fitr,National Holiday,End of Ramadan
libya,Saturday,Mar 21,Eid al-Fitr Holiday,National Holiday,
libya,Friday,May 01,Labour Day,National Holiday,International Workers' Day
libya,Wednesday,May 27,Arafat Day,National Holiday,
libya,Thursday,May 28,Eid Al-Adha,National Holiday,Feast of the Sacrifice
libya,Friday,May 29,Eid Al-Adha Holiday,National Holiday,
libya,Saturday,May 30,Eid Al-Adha Holiday,National Holiday,
libya,Tuesday,Jun 16,Hijri New Year,National Holiday,Hijri New Year
libya,Tuesday,Aug 25,Birthday of Prophet Muhammed,National Holiday,
libya,Wednesday,Sep 16,Martyrs' Day,National Holiday,
libya,Friday,Oct 23,Liberation Day,National Holiday,
libya,Thursday,Dec 24,Independence Day,National Holiday,
liechtenstein,Thursday,Jan 01,New Year's Day,National Holiday,
liechtenstein,Friday,Jan 02,Berchtolds Day,Not A Public Holiday,Bank Holiday
liechtenstein,Tuesday,Jan 06,Three King's Day,National Holiday,
liechtenstein,Monday,Feb 02,Candlemas,National Holiday,
liechtenstein,Tuesday,Feb 17,Carnival,Not A Public Holiday,Bank Holiday
liechtenstein,Thursday,Mar 19,St. Joseph's Day,National Holiday,
liechtenstein,Friday,Apr 03,Good Friday,Not A Public Holiday,Some schools and businesses may close
liechtenstein,Sunday,Apr 05,Easter,National Holiday,
liechtenstein,Monday,Apr 06,Easter Monday,National Holiday,
liechtenstein,Friday,May 01,Labour Day,National Holiday,International Workers' Day
liechtenstein,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
liechtenstein,Sunday,May 24,Whitsunday,National Holiday,50 Days after Easter
liechtenstein,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
liechtenstein,Thursday,Jun 04,Corpus Christi,National Holiday,Second Thursday after Whitsun
liechtenstein,Saturday,Aug 15,National Day,National Holiday,
liechtenstein,Tuesday,Sep 08,Nativity of Our Lady,National Holiday,
liechtenstein,Sunday,Nov 01,All Saints' Day,National Holiday,
liechtenstein,Tuesday,Dec 08,Immaculate Conception Day,National Holiday,
liechtenstein,Thursday,Dec 24,Christmas Eve,Not A Public Holiday,Bank Holiday
liechtenstein,Friday,Dec 25,Christmas Day,National Holiday,
liechtenstein,Saturday,Dec 26,St. Stephen's Day,National Holiday,Second day of Christmas
liechtenstein,Thursday,Dec 31,New Year's Eve,Not A Public Holiday,
lithuania,Thursday,Jan 01,New Year's Day,National Holiday,
lithuania,Monday,Feb 16,Restoration of the State Day,National Holiday,National Day
lithuania,Wednesday,Mar 11,Restoration of Independence Day,National Holiday,
lithuania,Sunday,Apr 05,Easter Sunday,National Holiday,
lithuania,Monday,Apr 06,Easter Monday,National Holiday,
lithuania,Friday,May 01,Labour Day,National Holiday,International Workers' Day
lithuania,Sunday,May 03,Mother's Day,National Holiday,1st Sunday in May
lithuania,Sunday,Jun 07,Father's Day,National Holiday,1st Sunday in June
lithuania,Wednesday,Jun 24,St. John's Day,National Holiday,Midsummer Day
lithuania,Monday,Jul 06,Anniversary of the Coronation of King Mindaugas,National Holiday,
lithuania,Saturday,Aug 15,Assumption Day,National Holiday,
lithuania,Sunday,Nov 01,All Saints' Day,National Holiday,
lithuania,Monday,Nov 02,All Souls' Day,National Holiday,
lithuania,Thursday,Dec 24,Christmas Eve,National Holiday,
lithuania,Friday,Dec 25,Christmas Day,National Holiday,
lithuania,Saturday,Dec 26,Second day of Christmas,National Holiday,
luxembourg,Thursday,Jan 01,New Year's Day,National Holiday,
luxembourg,Monday,Feb 16,Fasching,Not A Public Holiday,Day off in various sectors
luxembourg,Friday,Apr 03,Good Friday,Not A Public Holiday,Banks are closed
luxembourg,Sunday,Apr 05,Easter Sunday,National Holiday,
luxembourg,Monday,Apr 06,Easter Monday,National Holiday,
luxembourg,Friday,May 01,Labour Day,National Holiday,International Workers' Day
luxembourg,Saturday,May 09,Europe Day,National Holiday,
luxembourg,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
luxembourg,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
luxembourg,Tuesday,May 26,Whit Tuesday,Not A Public Holiday,Day off in various sectors
luxembourg,Sunday,Jun 14,Mother's Day,Not A Public Holiday,2nd Sunday in June. Not a public holiday
luxembourg,Tuesday,Jun 23,National Day,National Holiday,Grand Duke's Official Birthday
luxembourg,Saturday,Aug 15,Assumption Day,National Holiday,
luxembourg,Sunday,Oct 04,Father's Day,Not A Public Holiday,1st Sunday in October. Not a public holiday
luxembourg,Sunday,Nov 01,All Saints' Day,National Holiday,
luxembourg,Monday,Nov 02,All Souls' Day,Not A Public Holiday,Not a public holiday
luxembourg,Thursday,Dec 24,Christmas Eve,Not A Public Holiday,Banks closed in afternoon
luxembourg,Friday,Dec 25,Christmas Day,National Holiday,
luxembourg,Saturday,Dec 26,St. Stephen's Day,National Holiday,
macau,Thursday,Jan 01,New Year's Day,Public Holiday,
macau,Monday,Feb 16,Lunar New Year's Eve,Government Holiday,Afternoon only. Government only
macau,Tuesday,Feb 17,Lunar New Year's Day,Public Holiday,1st day of 1st lunar month
macau,Wednesday,Feb 18,The second day of the Lunar New Year,Public Holiday,2nd day of 1st lunar month
macau,Thursday,Feb 19,The third day of the Lunar New Year,Public Holiday,3rd day of 1st lunar month
macau,Friday,Apr 03,Good Friday,Public Holiday,
macau,Saturday,Apr 04,The Day before Easter,Public Holiday,
macau,Sunday,Apr 05,Ching Ming Festival,Public Holiday,Tomb Sweeping Day
macau,Monday,Apr 06,Compensatory rest day for the Day before Easter,Government Holiday,Government only
macau,Tuesday,Apr 07,Compensatory rest day for Cheng Ming Festival,Government Holiday,Government only
macau,Friday,May 01,Labour Day,Public Holiday,International Workers' Day
macau,Sunday,May 24,Buddha's Birthday,Public Holiday,Usually in late May
macau,Monday,May 25,Compensatory rest day for the Buddha’s Birthday,Government Holiday,Government only
macau,Friday,Jun 19,Tuen Ng Festival,Public Holiday,Dragon Boat Festival
macau,Saturday,Sep 26,Day following Chong Chao Festival,Public Holiday,
macau,Monday,Sep 28,Compensatory rest day for the Day following Mid-Autumn Festival,Government Holiday,Government only
macau,Thursday,Oct 01,National Day,Public Holiday,
macau,Friday,Oct 02,National Day Holiday,Public Holiday,
macau,Sunday,Oct 18,Chung Yeung Festival,Public Holiday,Double Ninth Festival /Dual-Yang Festival
macau,Monday,Oct 19,Compensatory rest day for Chong Yeung Festival,Government Holiday,Government only
macau,Monday,Nov 02,All Souls' Day,Public Holiday,
macau,Tuesday,Dec 08,Feast of Immaculate Conception ,Public Holiday,
macau,Sunday,Dec 20,Macao SARE Day,Public Holiday,
macau,Monday,Dec 21,Compensatory rest day for Macao S.A.R. Establishment Day,Government Holiday,Government only
macau,Tuesday,Dec 22,Dongzhi,Public Holiday,Winter Solstice
macau,Thursday,Dec 24,Christmas Eve,Public Holiday,
macau,Friday,Dec 25,Christmas Day,Public Holiday,
macau,Thursday,Dec 31,New Year's Eve,Government Holiday,Afternoon only. Government only
madagascar,Thursday,Jan 01,New Year's Day,National Holiday,
madagascar,Friday,Mar 20,Eid ul-Fitr,National Holiday,For Muslims
madagascar,Sunday,Mar 29,Martyrs Day,National Holiday,
madagascar,Monday,Apr 06,Easter Monday,National Holiday,
madagascar,Friday,May 01,Labour Day,National Holiday,International Workers' Day
madagascar,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
madagascar,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
madagascar,Thursday,May 28,Eid Al Adha,National Holiday,For Muslims
madagascar,Friday,Jun 26,Independence Day,National Holiday,National Day
madagascar,Saturday,Aug 15,Assumption Day,National Holiday,
madagascar,Sunday,Nov 01,All Saints' Day,National Holiday,
madagascar,Friday,Dec 25,Christmas Day,National Holiday,
malawi,Thursday,Jan 01,New Year's Day,
malawi,Thursday,Jan 15,John Chilembwe Day,
malawi,Tuesday,Mar 03,Martyrs Day,
malawi,Friday,Mar 20,Eid ul-Fitr,End of Ramadan
malawi,Friday,Apr 03,Good Friday,
malawi,Monday,Apr 06,Easter Monday,
malawi,Friday,May 01,Labour Day,International Workers' Day
malawi,Thursday,May 14,Kamuzu Day,14 May or following Monday
malawi,Monday,Jul 06,Independence Day,National Day
malawi,Tuesday,Jul 07,Independence Day,
malawi,Thursday,Oct 15,Mother's Day,
malawi,Friday,Dec 25,Christmas Day,
malawi,Saturday,Dec 26,Boxing Day,
malaysia,Thursday,Jan 01,New Year's Day,Regional Holiday,Most states
malaysia,Wednesday,Jan 14,Birthday of the Sultan of Negeri Sembilan,Regional Holiday,Negeri Sembilan only
malaysia,Saturday,Jan 17,Isra and Miraj,Regional Holiday,Several states
malaysia,Sunday,Jan 18,Isra and Miraj (in lieu),Regional Holiday,Several states
malaysia,Sunday,Feb 01,Thaipusam,Regional Holiday,Several states
malaysia,Monday,Feb 02,Federal Territory Day,Regional Holiday,Kuala Lumpur; Labuan; Putrajaya
malaysia,Monday,Feb 02,Thaipusam (in lieu),Regional Holiday,Several states
malaysia,Tuesday,Feb 03,Thaipusam (in lieu),Regional Holiday,Federal territories
malaysia,Tuesday,Feb 17,Chinese New Year,National Holiday,1st day of 1st lunar month
malaysia,Wednesday,Feb 18,Chinese New Year Holiday,National Holiday,2nd day of 1st lunar month
malaysia,Thursday,Feb 19,Beginning of Ramadan,Regional Holiday,Johor; Kedah
malaysia,Friday,Feb 20,Malaysian Declaration of Independence Day,Regional Holiday,Melaka
malaysia,Wednesday,Mar 04,Anniversary of Installation of the Sultan,Regional Holiday,Terengganu
malaysia,Saturday,Mar 07,Nuzul Al-Quran Day,Regional Holiday,Most states
malaysia,Sunday,Mar 08,Nuzul Al-Quran Day (in lieu),Regional Holiday,KTN; TRG
malaysia,Saturday,Mar 21,Hari Raya Aidilfitri,National Holiday,End of Ramadan
malaysia,Sunday,Mar 22,Hari Raya Aidilfitri Holiday,National Holiday,Second day of holiday for Eid Al-Fitr
malaysia,Monday,Mar 23,Birthday of the Sultan of Johor,Regional Holiday,Johor
malaysia,Monday,Mar 23,Hari Raya Aidilfitri Holiday,Regional Holiday,Except Kedah
malaysia,Tuesday,Mar 24,Hari Raya Aidilfitri Holiday,Regional Holiday,Melaka
